WinID,StartIdx,EndIdx,HRR_1,HRR_2,HRR_3,HRR_4,HMean_1,HMean_2,HMean_3,HMean_4,HVar_1,HVar_2,HVar_3,HVar_4,HSkew_1,HSkew_2,HSkew_3,HSkew_4,HKurt_1,HKurt_2,HKurt_3,HKurt_4,HEnt_1,HEnt_2,HEnt_3,HEnt_4,HGini_1,HGini_2,HGini_3,HGini_4,HJSD_1,HJSD_2,HJSD_3,HJSD_4,HMedian_1,HMedian_2,HMedian_3,HMedian_4,HIQR_1,HIQR_2,HIQR_3,HIQR_4
1,1,200,0.06760000000000001,0.07840000000000001,0.0576,0.0484,1.3072146964009146,1.366338942134723,1.6001822354867141,1.4513546469909462,0.503563118197295,0.5545993649491079,0.6440244259359453,0.5283539102598755,0.24807584863719964,0.18526905296411653,-0.1470293493051927,0.03863169206513039,2.260837363385367,2.0763311066880674,2.029915963000501,2.1426754449608256,4.086464042213757,4.131552086222586,4.142514639366476,4.158657811681195,0.9364024760617787,0.9392519817844494,0.937416691816307,0.9401597468365746,0.010294383861124376,0.0034467597344500756,0.019054075915071293,0.004102696527259461,1.2980118122981386,1.339389378354781,1.6620811815744974,1.4604195839498182,1.139558818572311,1.2032893667781435,1.363839415992587,1.1573067736474487
2,101,300,0.08702499999999999,0.046224999999999995,0.0529,0.06760000000000001,1.4077333073634082,1.3606494967685554,1.52676989782834,1.4014977658053207,0.5246169850495749,0.5274883000727741,0.6536845216762273,0.4819512819981256,0.07846080690171066,0.14060989043022015,-0.12651822739523083,0.08458016518056656,2.1161334507128666,2.072153622429148,1.8497069775469661,2.2449229265880595,4.055425966481614,4.120976360764904,4.1935151298594855,4.067661944546923,0.9353989262587697,0.9388466401523653,0.9425601530957548,0.9360111836821978,0.002545268977507586,0.0036889569270857937,0.013098022996719456,0.006550107461429625,1.4270688395161177,1.3545292641024778,1.5856349154985823,1.4066910734595892,1.184460481541032,1.1683785574988192,1.4062579591532498,1.0594022530161644
3,201,400,0.0625,0.055224999999999996,0.0625,0.07022500000000001,1.3912530574698423,1.4824293529430126,1.5013948804295645,1.39078222333633,0.5523071053988151,0.6148019643122064,0.6675294899961167,0.5766329622555588,0.0882523378392269,0.15727101519603284,-0.010656580867309563,-0.04549983194415436,2.0949715425158764,2.0707818493693417,1.8414055613424263,1.946769356368069,4.172881060391659,4.1501263870087595,4.1264786104042495,4.078514840802332,0.941323781757601,0.939849952206175,0.9387408579758434,0.9369208440326002,0.006572796030168985,0.006740013711674247,0.007745489777836218,0.008736050860999343,1.4093368590854085,1.443778215496466,1.5028027503322487,1.407899326170075,1.2031484603948694,1.2793436214997034,1.4138996289979844,1.2381724496026023
4,301,500,0.0529,0.0961,0.04000000000000001,0.06760000000000001,1.4774418982763833,1.4929267643191209,1.5303877322941215,1.3660644840500327,0.6334919783954478,0.6864500416246984,0.620873128258687,0.5422572849847679,0.07993457380900879,0.048147556756703305,-0.04261513718121505,0.029018629065318092,1.9971469246322293,1.9461909293120363,2.00714642836981,1.9919192784801325,4.15381208135277,4.180516383253986,4.126466637319612,4.180275522958636,0.9401087539965927,0.9415738387267362,0.9385305719921104,0.9426256173661018,0.004449369913031125,0.0036521120212564878,0.006077351385114263,0.013214759026796634,1.4712606950752596,1.4737899187375858,1.572709510419322,1.374544394418297,1.3133398560136202,1.436772844336253,1.3371727815183538,1.2028006120603874
5,401,600,0.0961,0.07022500000000001,0.030624999999999996,0.0625,1.4275236811533996,1.4811880270577942,1.6057686213535125,1.364240309059091,0.5916739830886857,0.7442935140541791,0.6192841570060892,0.5368404246593164,0.22448305743955382,0.026836521370605073,-0.1387224190203381,0.09969090713620045,2.158864727644338,1.8786868939727535,2.025989756604981,2.125911276439496,4.147866932989788,4.189190592124495,4.118936621462668,4.111731932864807,0.9396929036508765,0.9418037120750925,0.9379111644657863,0.9387581840899625,0.004091769340152108,0.009595213938448567,0.014200017330386045,0.00856194575367259,1.3773161254081223,1.4828161913975357,1.6802246633038116,1.389447488922814,1.2170299215616447,1.5260389267494316,1.3212393699829919,1.1793569304392664
6,501,700,0.0729,0.0361,0.0576,0.09,1.4751113905531905,1.4549119476014845,1.4944195458265748,1.3746853418204883,0.618900955063271,0.6163377581612788,0.5981663374884887,0.642674609736028,0.11028129914675458,0.14606141345712495,-0.06240399823847521,0.198768650298981,1.993446969146324,2.191067669086774,1.905207839068297,2.0649213002605444,4.1814410288492425,4.165885394701708,4.192412233424888,4.144036103359678,0.9411469404876839,0.9406910841364686,0.9426399577486042,0.9402323725621629,0.0046569087740757145,0.010664154205627135,0.008120484382167125,0.004002716160733166,1.4205189734052102,1.4311943441091288,1.508097185019766,1.353121126071907,1.3352828558287653,1.1879368868168172,1.3158988473396793,1.3231803660114672
7,601,800,0.0961,0.0484,0.0484,0.0625,1.386859966912016,1.431627074232145,1.4944335642982627,1.4119012260898485,0.6412132290264396,0.6202448981104914,0.6233030128670383,0.6316915094617105,0.15981099706308505,0.17238808306287914,0.009086007493379651,0.16993745149029665,1.989512538158264,2.184784071125965,1.9163115959491088,2.079744990877714,4.1670546349987845,4.160036658646513,4.189035146327207,4.14736874893974,0.9414535886401142,0.9404301632778942,0.942432585851633,0.9401909204498126,0.0030767364458978656,0.006340850221574285,0.006407539783441899,0.003161027744404382,1.3316648916143823,1.4172553770228855,1.483994700670957,1.4036645378319363,1.3158294540787492,1.2182216407115234,1.3522862040532213,1.3073466160664073
8,701,900,0.09922500000000001,0.065025,0.0529,0.04000000000000001,1.3924488106613482,1.4189025909208586,1.5290215672565486,1.4913231906703681,0.589861271474239,0.547601207502907,0.6168754864643531,0.598652606834695,0.1989657547518965,0.1575740218740391,-0.022191609549232057,0.002206818334752697,2.144533216015526,2.289593717491233,1.9600193091680294,2.0497196321266635,4.143502049672276,4.090936229559035,4.115996070097599,4.13243231685711,0.9396579998631434,0.9369048827374087,0.9382099932320475,0.9389349112426035,0.0037917830479813498,0.005061122763954385,0.0061564895366350274,0.006348616756405929,1.3910239348876852,1.434611109997953,1.5470502378073685,1.5099375748520494,1.2540065274533332,1.1650272660537027,1.369891404644639,1.2793168737020486
9,801,1000,0.0576,0.0484,0.09,0.0576,1.459179508226668,1.5479158327848033,1.4505243511911174,1.4418370147773838,0.5375076809632559,0.5855702296403049,0.584344840409359,0.5173841573495394,0.06940778382646773,-0.0341683425486217,0.0027961186662184075,0.028782959268360473,2.0632440113822414,2.176550925618091,1.9598093568533872,2.0761860436095216,4.121882945412203,4.144053897387118,4.106851293211291,4.059248341029301,0.9386851768019717,0.9392389900281144,0.9392498962622491,0.9362723831799205,0.0038030844904974586,0.006124033031162331,0.0031957536787705,0.0026155201681674852,1.4528052805332328,1.6012313445458952,1.4606589007433541,1.4542262290640418,1.2352650902835143,1.207430641732802,1.264447183715721,1.1688397198703229
10,901,1100,0.060024999999999995,0.034225,0.0961,0.06760000000000001,1.3807901814049632,1.3835165427865421,1.416108536080006,1.3970434335371795,0.44925416515056094,0.4826505420156014,0.45386368729947313,0.42168475253792354,0.03836629662300761,0.21767644021831378,-0.05699550815387125,-0.04116745466564778,2.2633867895475057,2.4191751685886764,2.2101257746832665,2.165053802313595,4.020507405362991,4.062889574074946,4.106804323924706,3.958237349364428,0.9330646374195937,0.9343848352857362,0.9369886749587024,0.9305228530674365,0.0028945153884413965,0.006251775337059188,0.002190565556110246,0.003608320402693082,1.428053621267693,1.384132526978747,1.4817206305139108,1.4457050736177388,1.028038758494162,1.0202681495057153,1.0200610806966126,1.0255045630955635
